Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2020-10-31 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-07 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 06:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 07:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 08:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 09:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 10:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 11:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 12:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 13:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 14:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 15:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 16:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 17:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 18:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 19:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 20:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 21:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 22:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13 23:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-14 00:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-14 01:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-14 02:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-14 03:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-14 04:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-14 05:00:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
